"x" "cl" "nbases" ".sample"
-1.23551009905766 "1" 109 1
-1.3797504090074 "1" 109 1
-1.2364938722161 "1" 109 1
-1.09760248000447 "1" 109 1
-1.05740931019004 "1" 109 1
-1.43637725907671 "1" 109 1
-1.14443935529513 "1" 109 1
-1.31732256735614 "1" 109 1
-1.15257259163578 "1" 109 1
-1.29617696005511 "1" 109 1
-1.40067704607286 "1" 109 1
-1.48339019728227 "1" 109 1
-1.37523670316078 "1" 109 1
-1.53472704155135 "1" 109 1
-1.33192515180788 "1" 109 1
1.28598274287451 "2" 109 1
1.37594309179272 "2" 109 1
1.29733940655824 "2" 109 1
1.21583284116497 "2" 109 1
1.36320366718301 "2" 109 1
1.38047085638314 "2" 109 1
1.18300882497928 "2" 109 1
1.26417962785684 "2" 109 1
1.25138378861739 "2" 109 1
1.53777442117136 "2" 109 1
1.35429027930754 "2" 109 1
1.11013904715536 "2" 109 1
1.19680342164533 "2" 109 1
1.20973620176657 "2" 109 1
1.4535228253134 "2" 109 1
-1.49630735920785 "1" 88 2
-1.56805646097523 "1" 88 2
-1.55893348449661 "1" 88 2
-1.59739315073666 "1" 88 2
-1.80568721771947 "1" 88 2
-1.83321853682163 "1" 88 2
-1.55493851276704 "1" 88 2
-1.67258293374604 "1" 88 2
-1.80241865811933 "1" 88 2
-1.71049440710214 "1" 88 2
-1.53138380573336 "1" 88 2
-1.60895149582755 "1" 88 2
-1.83665624060707 "1" 88 2
-1.43063906025513 "1" 88 2
-1.5394725152048 "1" 88 2
1.64928434522225 "2" 88 2
1.70823188159905 "2" 88 2
1.66799475707736 "2" 88 2
1.32919665704058 "2" 88 2
1.89912777006436 "2" 88 2
1.70146283474027 "2" 88 2
1.7070750027613 "2" 88 2
1.61991950477193 "2" 88 2
1.56511579392853 "2" 88 2
1.60127434504922 "2" 88 2
1.58779550307855 "2" 88 2
1.45140319177928 "2" 88 2
1.84167531799382 "2" 88 2
1.57123925615025 "2" 88 2
1.64633767806313 "2" 88 2
1.23397514571186 "2" 112 3
1.19348745777554 "2" 112 3
1.4325414179558 "2" 112 3
1.40905540482829 "2" 112 3
1.11140390527799 "2" 112 3
1.44492466203864 "2" 112 3
1.41587926886049 "2" 112 3
1.06781094588008 "2" 112 3
1.1892346410074 "2" 112 3
1.37086124655303 "2" 112 3
1.16703858481867 "2" 112 3
1.40139745207089 "2" 112 3
1.45504049610318 "2" 112 3
1.24369870149477 "2" 112 3
1.28899612989419 "2" 112 3
-1.45978133870481 "1" 112 3
-1.31629844525587 "1" 112 3
-1.42009480804984 "1" 112 3
-1.10967916282296 "1" 112 3
-1.09176995678375 "1" 112 3
-1.41921536143745 "1" 112 3
-1.10892518656043 "1" 112 3
-1.49232218332834 "1" 112 3
-1.29286897261107 "1" 112 3
-1.3560907950272 "1" 112 3
-1.22222714462056 "1" 112 3
-1.30424969696912 "1" 112 3
-1.35211545668117 "1" 112 3
-1.22823050179044 "1" 112 3
-1.25147644962781 "1" 112 3
-1.70921043425788 "1" 86 4
-1.3519425963675 "1" 86 4
-1.40224313245407 "1" 86 4
-1.45955055849935 "1" 86 4
-1.53314154014378 "1" 86 4
-1.4029502502975 "1" 86 4
-1.41345803090671 "1" 86 4
-1.66165242648329 "1" 86 4
-1.8328747899647 "1" 86 4
-1.54296919538474 "1" 86 4
-1.74790543986468 "1" 86 4
-1.59098210625609 "1" 86 4
-1.46197261636053 "1" 86 4
-1.77285527144631 "1" 86 4
-1.54010687308928 "1" 86 4
1.74765541477342 "2" 86 4
1.35243550966336 "2" 86 4
1.66044777299449 "2" 86 4
1.40026179222679 "2" 86 4
1.69303731269112 "2" 86 4
1.68910234271816 "2" 86 4
1.58280310540334 "2" 86 4
1.48655211552963 "2" 86 4
1.45455751199073 "2" 86 4
1.5900186206513 "2" 86 4
1.51076959406661 "2" 86 4
1.65504627900727 "2" 86 4
1.41704973526025 "2" 86 4
1.5555630529753 "2" 86 4
1.62851510182463 "2" 86 4
-1.41786941702354 "1" 98 5
-1.46175597596227 "1" 98 5
-1.34048360116948 "1" 98 5
-1.45649225797167 "1" 98 5
-1.39371258481064 "1" 98 5
-1.52352269059495 "1" 98 5
-1.52112660785152 "1" 98 5
-1.34559799532988 "1" 98 5
-1.38070535776285 "1" 98 5
-1.38836224752647 "1" 98 5
-1.42740940240689 "1" 98 5
-1.34034397142437 "1" 98 5
-1.45310938556849 "1" 98 5
-1.20306514680341 "1" 98 5
-1.25590971243465 "1" 98 5
1.57880555007569 "2" 98 5
