"sim1" "sim2" "obs3" "sim4" "sim5" "sim6" "sim7" "sim8" "sim9" "sim10" "sim11" "sim12" "sim13" "sim14" "sim15" "sim16" "sim17" "sim18" "sim19" "sim20" "age" "grp" "weight"
-1.95763645630647 6.22691996941057 8.76906801169313 0.850207395146232 0.932672237999885 3.05659842463111 -3.82408252700427 4.38342790004989 -7.5712097351296 4.28444449714887 -1.14181187006546 -7.32415928499805 -7.62019827140118 -2.80653450735246 9.77254176515393 11.8876067475817 6.12687395923864 4.66877600614679 -14.6630975447533 0.918333974604935 41 "B" 629
-0.432677202759644 -4.01531580604095 1.04020882192294 1.26956780524512 1.15925783333713 -8.60340391720626 8.14046309630817 7.09137007687492 -0.932281989943065 -2.88270605329567 -6.71654303108426 1.83275572978398 0.18151544516496 3.95483972223475 -5.14608071878836 0.78642175482029 5.86357756129572 6.12819012133884 6.81760145984476 10.5456563132463 32 "B" 487
-2.54398326495329 -3.69637931339474 -4.79782246923892 1.13786542771705 0.130169854889903 0.173139619988337 -1.51983673831024 -2.81921025511659 -5.11239188780289 -1.39307530943666 -10.0537243993817 -4.5120061268723 4.53903785423833 0.955237793918458 1.57157323873239 2.78227421137294 -10.4926721710022 0.238244014820126 2.53018464647281 -4.86116275682678 34 "A" 511
-11.2755549553231 3.32614956353495 -8.95979117807691 4.37444438554212 -5.65658803101118 2.06580579909061 10.3249964015867 3.27360809018674 2.52318673002929 -0.672119118888975 7.64441190374063 -5.25219883659865 7.67009494984235 -6.59008151349681 1.03019208415134 2.23018576244600 2.57841764779881 -5.14273931645069 2.22587547290924 1.83653845160978 32 "B" 477
-7.20569831366648 -9.26685386950052 3.14938092331416 -7.1015745392387 -5.37920954260347 -4.74642765436755 -3.06974892569286 -3.51257430606282 -0.115774505944726 -10.3157346568146 -7.25484104679973 0.190954204992426 5.37505681353758 1.19999967725749 13.5300408212181 -2.06731071283634 -3.44520557297527 7.36375021992565 -3.82782297572818 7.39979314322801 21 "B" 325
-5.01128816015636 2.73041582184426 -1.93160343110484 0.241024102979718 2.17775327249084 1.87952020894049 7.7918357225642 3.87586837574573 4.93426865136585 -7.2286419760635 -0.68330560507181 -2.81805889613903 3.97487173034767 -6.14945044559982 4.51778680218393 1.93869995367572 -7.70540812785149 2.93848571946228 6.27211527019458 -1.75794366050203 20 "A" 305
5.71112510882454 3.13052890152472 -1.63585376040092 1.32559547389173 3.0593728560035 0.791089334645643 -3.07302289589053 -3.1216957779863 5.56652287546193 5.4870043282832 -4.82415878634968 2.31569050924040 -1.16132113400714 -2.90242327767896 -5.7756158496382 1.22869089999873 -2.1526180430102 1.51983335523405 3.24423955827768 5.47962038258837 36 "B" 544
3.81685465105753 -6.4896573636566 5.9592244675041 -4.28634797123448 5.17066055585123 6.9704813728193 14.3229732017647 0.602381707295132 0.331192937055463 -4.34448545927667 -1.63823381272258 -4.04179805702854 -8.40743247437821 7.70127342418303 3.71805063473911 -0.641701219926864 1.78689029828281 -7.01030672038204 -8.16369290046032 6.75776664434943 31 "A" 477
6.90098578317861 -0.871241684902872 -4.95979117807691 0.321678714437361 4.42910992467994 -5.63316877309865 -14.6269486112574 4.81102203477262 -2.61002826105577 -8.1605931874188 6.73910927052022 3.80082141682976 1.81996579461034 -7.78988327316013 -0.453082197844628 -6.87974740367313 0.0360989089343549 -1.94452939336817 -0.232160684510433 3.62161159417811 32 "B" 481
1.16102536636291 2.50232829907079 -2.52668165900986 -3.64645373286262 -2.50152981862504 10.3034328025988 0.699051248252047 6.42598273329555 -1.94478896237527 -1.52733094133844 8.26875977266396 -3.75339527310614 0.366981598841554 -1.21147369964983 3.8485530665856 2.42350387462838 -4.23460201624299 -3.35552632956354 -5.97057951421652 -0.531943159927872 25 "B" 379
