id,response,response_no,plot_location,time_taken,conf_level,choice_reason,sample_size,p_value,pic_id,pic_name,experiment,difficulty,description,beta,sigma,replica
1,TRUE,7,7,77,4,1,300,0.0155,130,plot_turk1_300_2_5_3.png,turk1,medium,Turk,2,5,3
1,FALSE,3,8,39,4,1,300,0.0015,140,plot_turk1_300_3_12_1.png,turk1,hard,Turk,3,12,1
1,FALSE,13,19,97,4,1,100,0.0556,95,plot_turk1_100_1_5_1.png,turk1,mixed,Turk,1,5,1
1,FALSE,7,17,63,4,1,100,0.1867,111,plot_turk1_100_3_12_2.png,turk1,hard,Turk,3,12,2
1,TRUE,19,19,79,4,1,100,0.0186,115,plot_turk1_100_8_12_3.png,turk1,hard,Turk,8,12,3
1,TRUE,15,15,36,4,1,300,3.00E-04,144,plot_turk1_300_5_12_2.png,turk1,hard,Turk,5,12,2
1,TRUE,1,1,118,4,1,300,6.00E-04,129,plot_turk1_300_2_5_2.png,turk1,medium,Turk,2,5,2
1,TRUE,19,19,47,4,1,100,0,113,plot_turk1_100_8_12_1.png,turk1,hard,Turk,8,12,1
1,TRUE,5,5,43,4,1,100,0,121,plot_turk1_100_16_12_3.png,turk1,easy,Turk,16,12,3
1,FALSE,1,17,71,4,1,300,0.4401,127,plot_turk1_300_1_5_3.png,turk1,hard,Turk,1,5,3
2,FALSE,4,12,36,1,1,100,0.0033,118,plot_turk1_100_10_12_3.png,turk1,hard,Turk,10,12,3
2,FALSE,6,14,38,1,1,300,0.0898,126,plot_turk1_300_1_5_2.png,turk1,hard,Turk,1,5,2
2,FALSE,11,17,30,1,1,100,0.1867,111,plot_turk1_100_3_12_2.png,turk1,hard,Turk,3,12,2
2,FALSE,3,15,29,1,1,300,0,149,plot_turk1_300_10_12_1.png,turk1,easy,Turk,10,12,1
2,FALSE,5,16,70,3,1,300,0,132,plot_turk1_300_3_5_2.png,turk1,medium,Turk,3,5,2
2,FALSE,1,13,8,1,1,100,0.8414,109,plot_turk1_100_1_12_3.png,turk1,mixed,Turk,1,12,3
2,FALSE,4,8,26,2,1,300,0.0015,140,plot_turk1_300_3_12_1.png,turk1,hard,Turk,3,12,1
2,TRUE,14,14,38,1,1,300,0,143,plot_turk1_300_5_12_1.png,turk1,hard,Turk,5,12,1
2,FALSE,2,19,305,2,1,100,0.0186,115,plot_turk1_100_8_12_3.png,turk1,hard,Turk,8,12,3
3,FALSE,3,7,25,1,1,300,0.0155,130,plot_turk1_300_2_5_3.png,turk1,medium,Turk,2,5,3
4,TRUE,17,17,12,2,12,100,1.00E-04,117,plot_turk1_100_10_12_2.png,turk1,hard,Turk,10,12,2
4,TRUE,3,3,33,2,13,300,0,128,plot_turk1_300_2_5_1.png,turk1,medium,Turk,2,5,1
4,TRUE,8,8,7,2,1,300,0,150,plot_turk1_300_10_12_2.png,turk1,easy,Turk,10,12,2
4,FALSE,4,17,10,1,1,300,0.4401,127,plot_turk1_300_1_5_3.png,turk1,hard,Turk,1,5,3
4,FALSE,2,12,10,1,1,100,0.0033,118,plot_turk1_100_10_12_3.png,turk1,hard,Turk,10,12,3
4,TRUE,16,16,61,1,1,300,0.0063,125,plot_turk1_300_1_5_1.png,turk1,hard,Turk,1,5,1
4,TRUE,4,4,45,1,1,300,0.0082,145,plot_turk1_300_5_12_3.png,turk1,hard,Turk,5,12,3
4,TRUE,19,19,9,2,1,100,0.0556,95,plot_turk1_100_1_5_1.png,turk1,mixed,Turk,1,5,1
4,FALSE,4,15,30,2,3,300,0,133,plot_turk1_300_3_5_3.png,turk1,medium,Turk,3,5,3
4,TRUE,4,4,12,2,1,100,0,116,plot_turk1_100_10_12_1.png,turk1,hard,Turk,10,12,1
5,FALSE,6,17,29,3,4,300,0.0295,141,plot_turk1_300_3_12_2.png,turk1,hard,Turk,3,12,2
5,FALSE,13,20,34,5,1,100,0.001,114,plot_turk1_100_8_12_2.png,turk1,hard,Turk,8,12,2
5,FALSE,2,6,42,4,12,100,0.0036,99,plot_turk1_100_3_5_2.png,turk1,medium,Turk,3,5,2
5,FALSE,20,17,41,5,4,100,0.1867,111,plot_turk1_100_3_12_2.png,turk1,hard,Turk,3,12,2
5,FALSE,11,2,27,4,13,100,0.4924,93,plot_turk1_100_0_5_2.png,turk1,mixed,Turk,0,5,2
5,FALSE,3,5,11,3,3,100,0,121,plot_turk1_100_16_12_3.png,turk1,easy,Turk,16,12,3
5,FALSE,14,4,51,3,1,100,0,116,plot_turk1_100_10_12_1.png,turk1,hard,Turk,10,12,1
5,FALSE,1,19,17,4,3,100,0.0186,115,plot_turk1_100_8_12_3.png,turk1,hard,Turk,8,12,3
5,FALSE,17,19,29,4,2,100,0.0586,100,plot_turk1_100_3_5_3.png,turk1,medium,Turk,3,5,3
5,FALSE,7,4,51,4,2,300,0.0082,145,plot_turk1_300_5_12_3.png,turk1,hard,Turk,5,12,3
6,FALSE,1,12,9,3,4,100,0.6744,112,plot_turk1_100_3_12_3.png,turk1,hard,Turk,3,12,3
6,FALSE,20,16,40,4,4,300,0,132,plot_turk1_300_3_5_2.png,turk1,medium,Turk,3,5,2
6,FALSE,4,17,20,4,2,100,0.1867,111,plot_turk1_100_3_12_2.png,turk1,hard,Turk,3,12,2
6,FALSE,1,15,20,3,4,300,0,133,plot_turk1_300_3_5_3.png,turk1,medium,Turk,3,5,3
6,FALSE,4,19,8,3,3,300,0.1591,122,plot_turk1_300_0_5_1.png,turk1,mixed,Turk,0,5,1
6,FALSE,4,12,7,4,4,100,0.0033,118,plot_turk1_100_10_12_3.png,turk1,hard,Turk,10,12,3
6,FALSE,18,16,93,3,1234,300,0,132,plot_turk1_300_3_5_2.png,turk1,medium,Turk,3,5,2
6,FALSE,2,15,14,3,34,300,3.00E-04,144,plot_turk1_300_5_12_2.png,turk1,hard,Turk,5,12,2
6,FALSE,3,8,8,3,13,300,0.0015,140,plot_turk1_300_3_12_1.png,turk1,hard,Turk,3,12,1
6,FALSE,1,20,28,3,3,100,1.00E-04,98,plot_turk1_100_3_5_1.png,turk1,medium,Turk,3,5,1
6,FALSE,3,14,7,3,3,100,0,119,plot_turk1_100_16_12_1.png,turk1,easy,Turk,16,12,1
6,FALSE,7,20,11,5,1,100,0.001,114,plot_turk1_100_8_12_2.png,turk1,hard,Turk,8,12,2
7,FALSE,2,19,135,2,13,100,0.0586,100,plot_turk1_100_3_5_3.png,turk1,medium,Turk,3,5,3
7,TRUE,19,19,105,1,123,100,0.0556,95,plot_turk1_100_1_5_1.png,turk1,mixed,Turk,1,5,1
