"pos.1" "pos.2" "bin.dist" "pic_name"
1 1 0 "plot_large_p_small_n_30_10_0_1_1.png"
1 2 4.89897948556636 "plot_large_p_small_n_30_10_0_1_1.png"
1 3 4 "plot_large_p_small_n_30_10_0_1_1.png"
1 4 5.09901951359278 "plot_large_p_small_n_30_10_0_1_1.png"
1 5 6.48074069840786 "plot_large_p_small_n_30_10_0_1_1.png"
1 6 2.82842712474619 "plot_large_p_small_n_30_10_0_1_1.png"
1 7 5.29150262212918 "plot_large_p_small_n_30_10_0_1_1.png"
1 8 6.48074069840786 "plot_large_p_small_n_30_10_0_1_1.png"
1 9 4.24264068711928 "plot_large_p_small_n_30_10_0_1_1.png"
1 10 14.7648230602334 "plot_large_p_small_n_30_10_0_1_1.png"
1 11 4.24264068711928 "plot_large_p_small_n_30_10_0_1_1.png"
1 12 6.32455532033676 "plot_large_p_small_n_30_10_0_1_1.png"
1 13 4 "plot_large_p_small_n_30_10_0_1_1.png"
1 14 4.69041575982343 "plot_large_p_small_n_30_10_0_1_1.png"
1 15 4.47213595499958 "plot_large_p_small_n_30_10_0_1_1.png"
1 16 6.32455532033676 "plot_large_p_small_n_30_10_0_1_1.png"
1 17 11.3137084989848 "plot_large_p_small_n_30_10_0_1_1.png"
1 18 2.82842712474619 "plot_large_p_small_n_30_10_0_1_1.png"
1 19 5.65685424949238 "plot_large_p_small_n_30_10_0_1_1.png"
1 20 4.47213595499958 "plot_large_p_small_n_30_10_0_1_1.png"
2 1 4.89897948556636 "plot_large_p_small_n_30_10_0_1_1.png"
2 2 0 "plot_large_p_small_n_30_10_0_1_1.png"
2 3 2 "plot_large_p_small_n_30_10_0_1_1.png"
2 4 3.46410161513775 "plot_large_p_small_n_30_10_0_1_1.png"
2 5 5.8309518948453 "plot_large_p_small_n_30_10_0_1_1.png"
2 6 5.47722557505166 "plot_large_p_small_n_30_10_0_1_1.png"
2 7 6.6332495807108 "plot_large_p_small_n_30_10_0_1_1.png"
2 8 6 "plot_large_p_small_n_30_10_0_1_1.png"
2 9 4 "plot_large_p_small_n_30_10_0_1_1.png"
2 10 14.422205101856 "plot_large_p_small_n_30_10_0_1_1.png"
2 11 2.44948974278318 "plot_large_p_small_n_30_10_0_1_1.png"
2 12 6.48074069840786 "plot_large_p_small_n_30_10_0_1_1.png"
2 13 2.82842712474619 "plot_large_p_small_n_30_10_0_1_1.png"
2 14 6.32455532033676 "plot_large_p_small_n_30_10_0_1_1.png"
2 15 2.44948974278318 "plot_large_p_small_n_30_10_0_1_1.png"
2 16 2.82842712474619 "plot_large_p_small_n_30_10_0_1_1.png"
2 17 8.36660026534076 "plot_large_p_small_n_30_10_0_1_1.png"
2 18 4.47213595499958 "plot_large_p_small_n_30_10_0_1_1.png"
2 19 1.4142135623731 "plot_large_p_small_n_30_10_0_1_1.png"
2 20 2.44948974278318 "plot_large_p_small_n_30_10_0_1_1.png"
3 1 4 "plot_large_p_small_n_30_10_0_1_1.png"
3 2 2 "plot_large_p_small_n_30_10_0_1_1.png"
3 3 0 "plot_large_p_small_n_30_10_0_1_1.png"
3 4 4.47213595499958 "plot_large_p_small_n_30_10_0_1_1.png"
3 5 6.16441400296898 "plot_large_p_small_n_30_10_0_1_1.png"
3 6 4.24264068711928 "plot_large_p_small_n_30_10_0_1_1.png"
3 7 5.29150262212918 "plot_large_p_small_n_30_10_0_1_1.png"
3 8 6.6332495807108 "plot_large_p_small_n_30_10_0_1_1.png"
3 9 4 "plot_large_p_small_n_30_10_0_1_1.png"
3 10 15.2315462117278 "plot_large_p_small_n_30_10_0_1_1.png"
3 11 1.4142135623731 "plot_large_p_small_n_30_10_0_1_1.png"
3 12 5.09901951359278 "plot_large_p_small_n_30_10_0_1_1.png"
3 13 3.46410161513775 "plot_large_p_small_n_30_10_0_1_1.png"
3 14 5.47722557505166 "plot_large_p_small_n_30_10_0_1_1.png"
3 15 2.44948974278318 "plot_large_p_small_n_30_10_0_1_1.png"
3 16 3.46410161513775 "plot_large_p_small_n_30_10_0_1_1.png"
3 17 9.89949493661167 "plot_large_p_small_n_30_10_0_1_1.png"
3 18 2.82842712474619 "plot_large_p_small_n_30_10_0_1_1.png"
3 19 2.44948974278318 "plot_large_p_small_n_30_10_0_1_1.png"
3 20 2.44948974278318 "plot_large_p_small_n_30_10_0_1_1.png"
4 1 5.09901951359278 "plot_large_p_small_n_30_10_0_1_1.png"
4 2 3.46410161513775 "plot_large_p_small_n_30_10_0_1_1.png"
4 3 4.47213595499958 "plot_large_p_small_n_30_10_0_1_1.png"
4 4 0 "plot_large_p_small_n_30_10_0_1_1.png"
4 5 4.47213595499958 "plot_large_p_small_n_30_10_0_1_1.png"
4 6 6.48074069840786 "plot_large_p_small_n_30_10_0_1_1.png"
4 7 8.12403840463596 "plot_large_p_small_n_30_10_0_1_1.png"
4 8 4 "plot_large_p_small_n_30_10_0_1_1.png"
4 9 3.46410161513775 "plot_large_p_small_n_30_10_0_1_1.png"
4 10 12.5698050899765 "plot_large_p_small_n_30_10_0_1_1.png"
4 11 4.47213595499958 "plot_large_p_small_n_30_10_0_1_1.png"
4 12 8.48528137423857 "plot_large_p_small_n_30_10_0_1_1.png"
4 13 2 "plot_large_p_small_n_30_10_0_1_1.png"
4 14 6.92820323027551 "plot_large_p_small_n_30_10_0_1_1.png"
4 15 4 "plot_large_p_small_n_30_10_0_1_1.png"
4 16 4 "plot_large_p_small_n_30_10_0_1_1.png"
4 17 6.48074069840786 "plot_large_p_small_n_30_10_0_1_1.png"
4 18 6.16441400296898 "plot_large_p_small_n_30_10_0_1_1.png"
4 19 4.24264068711928 "plot_large_p_small_n_30_10_0_1_1.png"
4 20 2.82842712474619 "plot_large_p_small_n_30_10_0_1_1.png"
5 1 6.48074069840786 "plot_large_p_small_n_30_10_0_1_1.png"
5 2 5.8309518948453 "plot_large_p_small_n_30_10_0_1_1.png"
5 3 6.16441400296898 "plot_large_p_small_n_30_10_0_1_1.png"
5 4 4.47213595499958 "plot_large_p_small_n_30_10_0_1_1.png"
5 5 0 "plot_large_p_small_n_30_10_0_1_1.png"
5 6 6.16441400296898 "plot_large_p_small_n_30_10_0_1_1.png"
5 7 7.48331477354788 "plot_large_p_small_n_30_10_0_1_1.png"
5 8 6.48074069840786 "plot_large_p_small_n_30_10_0_1_1.png"
5 9 4.69041575982343 "plot_large_p_small_n_30_10_0_1_1.png"
5 10 14.2828568570857 "plot_large_p_small_n_30_10_0_1_1.png"
5 11 6 "plot_large_p_small_n_30_10_0_1_1.png"
5 12 7.48331477354788 "plot_large_p_small_n_30_10_0_1_1.png"
5 13 4.89897948556636 "plot_large_p_small_n_30_10_0_1_1.png"
5 14 5.09901951359278 "plot_large_p_small_n_30_10_0_1_1.png"
5 15 4.47213595499958 "plot_large_p_small_n_30_10_0_1_1.png"
5 16 4.69041575982343 "plot_large_p_small_n_30_10_0_1_1.png"
5 17 8.36660026534076 "plot_large_p_small_n_30_10_0_1_1.png"
5 18 6.92820323027551 "plot_large_p_small_n_30_10_0_1_1.png"
5 19 6.48074069840786 "plot_large_p_small_n_30_10_0_1_1.png"
5 20 4.47213595499958 "plot_large_p_small_n_30_10_0_1_1.png"
6 1 2.82842712474619 "plot_large_p_small_n_30_10_0_1_1.png"
6 2 5.47722557505166 "plot_large_p_small_n_30_10_0_1_1.png"
6 3 4.24264068711928 "plot_large_p_small_n_30_10_0_1_1.png"
6 4 6.48074069840786 "plot_large_p_small_n_30_10_0_1_1.png"
6 5 6.16441400296898 "plot_large_p_small_n_30_10_0_1_1.png"
6 6 0 "plot_large_p_small_n_30_10_0_1_1.png"
6 7 3.16227766016838 "plot_large_p_small_n_30_10_0_1_1.png"
6 8 8.24621125123532 "plot_large_p_small_n_30_10_0_1_1.png"
6 9 5.29150262212918 "plot_large_p_small_n_30_10_0_1_1.png"
6 10 16.6132477258361 "plot_large_p_small_n_30_10_0_1_1.png"
6 11 4.24264068711928 "plot_large_p_small_n_30_10_0_1_1.png"
6 12 4 "plot_large_p_small_n_30_10_0_1_1.png"
6 13 5.29150262212918 "plot_large_p_small_n_30_10_0_1_1.png"
6 14 2.82842712474619 "plot_large_p_small_n_30_10_0_1_1.png"
6 15 4 "plot_large_p_small_n_30_10_0_1_1.png"
6 16 6.16441400296898 "plot_large_p_small_n_30_10_0_1_1.png"
6 17 12.328828005938 "plot_large_p_small_n_30_10_0_1_1.png"
6 18 2.44948974278318 "plot_large_p_small_n_30_10_0_1_1.png"
6 19 6 "plot_large_p_small_n_30_10_0_1_1.png"
6 20 4.89897948556636 "plot_large_p_small_n_30_10_0_1_1.png"
7 1 5.29150262212918 "plot_large_p_small_n_30_10_0_1_1.png"
7 2 6.6332495807108 "plot_large_p_small_n_30_10_0_1_1.png"
7 3 5.29150262212918 "plot_large_p_small_n_30_10_0_1_1.png"
7 4 8.12403840463596 "plot_large_p_small_n_30_10_0_1_1.png"
7 5 7.48331477354788 "plot_large_p_small_n_30_10_0_1_1.png"
7 6 3.16227766016838 "plot_large_p_small_n_30_10_0_1_1.png"
7 7 0 "plot_large_p_small_n_30_10_0_1_1.png"
7 8 9.69535971483266 "plot_large_p_small_n_30_10_0_1_1.png"
7 9 6.92820323027551 "plot_large_p_small_n_30_10_0_1_1.png"
7 10 18 "plot_large_p_small_n_30_10_0_1_1.png"
7 11 4.89897948556636 "plot_large_p_small_n_30_10_0_1_1.png"
7 12 3.74165738677394 "plot_large_p_small_n_30_10_0_1_1.png"
7 13 6.6332495807108 "plot_large_p_small_n_30_10_0_1_1.png"
7 14 4.69041575982343 "plot_large_p_small_n_30_10_0_1_1.png"
7 15 4.89897948556636 "plot_large_p_small_n_30_10_0_1_1.png"
7 16 6.48074069840786 "plot_large_p_small_n_30_10_0_1_1.png"
7 17 13.4164078649987 "plot_large_p_small_n_30_10_0_1_1.png"
7 18 4 "plot_large_p_small_n_30_10_0_1_1.png"
7 19 6.92820323027551 "plot_large_p_small_n_30_10_0_1_1.png"
7 20 6 "plot_large_p_small_n_30_10_0_1_1.png"
8 1 6.48074069840786 "plot_large_p_small_n_30_10_0_1_1.png"
8 2 6 "plot_large_p_small_n_30_10_0_1_1.png"
8 3 6.6332495807108 "plot_large_p_small_n_30_10_0_1_1.png"
8 4 4 "plot_large_p_small_n_30_10_0_1_1.png"
8 5 6.48074069840786 "plot_large_p_small_n_30_10_0_1_1.png"
8 6 8.24621125123532 "plot_large_p_small_n_30_10_0_1_1.png"
8 7 9.69535971483266 "plot_large_p_small_n_30_10_0_1_1.png"
8 8 0 "plot_large_p_small_n_30_10_0_1_1.png"
8 9 3.46410161513775 "plot_large_p_small_n_30_10_0_1_1.png"
8 10 8.94427190999916 "plot_large_p_small_n_30_10_0_1_1.png"
8 11 7.07106781186548 "plot_large_p_small_n_30_10_0_1_1.png"
8 12 10.8627804912002 "plot_large_p_small_n_30_10_0_1_1.png"
8 13 4.47213595499958 "plot_large_p_small_n_30_10_0_1_1.png"
8 14 8.60232526704263 "plot_large_p_small_n_30_10_0_1_1.png"
8 15 6.78232998312527 "plot_large_p_small_n_30_10_0_1_1.png"
