"pos.1" "pos.2" "reg.bin" "bin.dist" "pic_name"
1 1 0 0 "plot_turk2_100_125_5_1.png"
1 2 3.85072657650973 12 "plot_turk2_100_125_5_1.png"
1 3 2.18459109059584 10 "plot_turk2_100_125_5_1.png"
1 4 1.8726818941213 10.295630140987 "plot_turk2_100_125_5_1.png"
1 5 2.22290047801119 11.916375287813 "plot_turk2_100_125_5_1.png"
1 6 1.37461413718353 10.3923048454133 "plot_turk2_100_125_5_1.png"
1 7 1.61812157834652 10.9544511501033 "plot_turk2_100_125_5_1.png"
1 8 0.0172616356560751 8.36660026534076 "plot_turk2_100_125_5_1.png"
1 9 2.79582755637595 19.131126469709 "plot_turk2_100_125_5_1.png"
1 10 1.2761071568809 12.7279220613579 "plot_turk2_100_125_5_1.png"
1 11 1.00841043156475 7.61577310586391 "plot_turk2_100_125_5_1.png"
1 12 1.38602551851139 13.1909059582729 "plot_turk2_100_125_5_1.png"
1 13 0.378878422321374 10.3923048454133 "plot_turk2_100_125_5_1.png"
1 14 3.03248028384844 16.7332005306815 "plot_turk2_100_125_5_1.png"
1 15 2.73549357604224 11.8321595661992 "plot_turk2_100_125_5_1.png"
1 16 1.29544604666969 12.328828005938 "plot_turk2_100_125_5_1.png"
1 17 0.19501548156589 9.69535971483266 "plot_turk2_100_125_5_1.png"
1 18 0.400449598509314 10.8627804912002 "plot_turk2_100_125_5_1.png"
1 19 1.35135627001767 10.770329614269 "plot_turk2_100_125_5_1.png"
1 20 1.77215648197372 15.2315462117278 "plot_turk2_100_125_5_1.png"
2 1 3.85072657650973 12 "plot_turk2_100_125_5_1.png"
2 2 0 0 "plot_turk2_100_125_5_1.png"
2 3 0.534410492546538 6.48074069840786 "plot_turk2_100_125_5_1.png"
2 4 1.90364791810295 7.74596669241483 "plot_turk2_100_125_5_1.png"
2 5 0.657084986947776 14 "plot_turk2_100_125_5_1.png"
2 6 1.14482071388381 8.24621125123532 "plot_turk2_100_125_5_1.png"
2 7 0.53605895865664 9.05538513813742 "plot_turk2_100_125_5_1.png"
2 8 3.51639072547204 9.16515138991168 "plot_turk2_100_125_5_1.png"
2 9 0.0937693737701038 10.770329614269 "plot_turk2_100_125_5_1.png"
2 10 0.730002147369175 14.8996644257513 "plot_turk2_100_125_5_1.png"
